"","Genus","Species","Group","Acclim.Time","CoolRate","HeatRate","Latitude","Longitude","Habitat","MaxCtmax","MinCtmin","CtmaxARR","CtminARR","Seasonality","Ref"
"152","Cyprinodon","variegatus","fish",30,0.1,0.1,26.065634,-97.158582,"fw",44.2,0.6,0.29,0.32,4.91,"[47]"
"153","Cyprinodon","spp","fish",7,NA,0.3,36.513859,-116.977884,"fw",43.6,NA,0.23,NA,9.28,"[48]"
"154","Cyprinodon","macularis","fish",7,NA,0.5,32.057499,-111.666072,"fw",43.2,NA,0.3,NA,7.001,"[49]"
"155","Cyprinodon","nevadensis","fish",7,0.03,0.03,36.243562,-116.856719,"fw",42.7,0.8,0.14,0.17,9.116,"[50]"
"156","Poecilia","sphenops","fish",30,1,1,17.033333,-96.5,"fw",43,7.5,0.3,0.3,1.346,"[51]"
"157","Gambusia","affinis","fish",30,NA,0.3,40.806281,-111.947806,"fw",42.1,NA,0.36,NA,9.093,"[52]"
"158","Gambusia","affinis","fish",30,NA,0.3,32.998333,-109.9,"fw",43.2,NA,0.34,NA,7.754,"[52]"
"159","Limia","melanonotata","fish",10.5,NA,0.3,18.221208,-71.102408,"fw",43,NA,0.31,NA,0.992,"[53]"
"160","Lepomis","gibbosus","fish",14,NA,0.3,46.285691,-119.284462,"fw",35.1,NA,0.5,NA,7.809,"[54]"
"161","Lepomis","macrochirus","fish",14,NA,1,33.289983,-81.727939,"fw",40.9,NA,0.46,NA,6.946,"[55]"
"162","Oncorhynchus","kisutch","fish",14,NA,0.3,46.285691,-119.284462,"fw",28.7,NA,0.34,NA,7.809,"[54]"
"163","Oncorhynchus","apache","fish",14,NA,0.02,33.691813,-109.78924,"fw",29.4,NA,0.09,NA,6.841,"[56]"
"164","Oncorhynchus","gilae","fish",14,NA,0.02,33.301322,-107.96392,"fw",29.6,NA,0.13,NA,6.77,"[56]"
"165","Salmo","salar","fish",14,NA,0.033,54.243864,-3.004282,"fw",32.7,NA,0.02,NA,4.623,"[57]"
"166","Salmo","trutta","fish",14,NA,0.02,33.931329,-109.58989,"fw",29.9,NA,0.09,NA,6.014,"[56]"
"167","Salvelinus","fontinalis","fish",14,NA,0.02,33.931329,-109.58989,"fw",29.8,NA,0.11,NA,6.014,"[56]"
"168","Thymallus","arcticus","fish",14,NA,0.4,45.657306,-112.9033,"fw",29.3,NA,0.25,NA,7.809,"[58]"
"169","Cottus","cognatus","fish",14,NA,0.5,41.88,-87.63,"fw",29.4,NA,0.43,NA,9.851,"[59]"
"170","Acipenser","brevirostrum","fish",7,NA,0.1,32.89,NA,"fw",35.1,NA,0.3,NA,NA,"[60]"
"171","Prochilodus","scrofa","fish",30,0.1,0.1,-22,NA,"fw",42.6,6.5,0.47,0.41,NA,"[61]"
"172","Labeo","rohita","fish",30,0.3,0.3,18.9,NA,"fw",42.9,13.7,0.24,0.19,NA,"[62]"
"173","Catla","catla","fish",30,0.3,0.3,20.44,NA,"fw",42.7,13.9,0.24,0.18,NA,"[62]"
"174","Cirrhinus","mrigala","fish",30,0.3,0.3,20.63,NA,"fw",43.1,12.1,0.08,0.19,NA,"[62]"
"175","Carassius","auratus","fish",20,0.3,0.3,24.45,NA,"fw",43.6,0.3,0.44,0.41,NA,"[63]"
"176","Danio","rerio","fish",11,0.3,0.3,21.37,NA,"fw",41.7,6.2,0.25,0.44,NA,"[64]"
"177","Tor","putitora","fish",30,NA,0.3,21.95,NA,"fw",41.8,NA,0.47,NA,NA,"[65]"
"178","Xiphophorus","maculatus","fish",7,0.13,0.13,21.9,NA,"fw",41.5,9.6,0.11,0.39,NA,"[66]"
"179","Gasterosteus","aculeatus","fish",NA,NA,0.25,38.57,NA,"sw",34.6,NA,0.27,NA,NA,"[67]"
"180","Anabas","testudineus","fish",30,0.3,0.3,9.45,NA,"fw",41.9,12.4,0.17,0.15,NA,"[68]"
"181","Micropterus","salmoides","fish",20,0.3,0.3,34.7,NA,"fw",38.5,3.2,0.31,0.75,NA,"[69]"
"182","Pterophyllum","scalare","fish",30,NA,1,-2.17,NA,"fw",41.2,NA,0.41,NA,NA,"[70]"
"183","Dicentrarchus","labrax","fish",35,0.3,0.3,36.761069,NA,"sw",36,4.1,0.28,0.27,NA,"[71]"
"184","Oncorhynchus","mykiss","fish",20,0.3,0.3,38.3,NA,"fw",29.8,0,0.18,0.2,NA,"[69]"
"185","Oncorhynchus","clarkii","fish",NA,NA,0.4,48.23,NA,"sw",29.9,NA,0.23,NA,NA,"[72]"
"186","Sebastiscus","marmoratus","fish",14,0.08,0.08,23.57,NA,"sw",32.8,4.9,0.31,0.31,NA,"[73]"
"187","Horabagrus","brachysoma","fish",30,0.3,0.3,21.85,NA,"fw",42.8,13.2,0.37,0.22,NA,"[74]"
"188","Ictalurus","punctatus","fish",20,0.3,0.3,36.73,NA,"fw",40.3,2.7,0.39,0.71,NA,"[69]"
"189","Pangasius","pangasius","fish",30,0.3,0.3,22.57,NA,"fw",44.1,12.4,0.17,0.6,NA,"[75]"
"190","Chirodica","chalcoptera","insect",7,0.25,0.25,-33.6,18.58,"t",41.9,0.1,-0.13,0.16,3.25,"[76]"
"191","Palirhoeus","eatoni","insect",7,0.25,0.25,-46.896448,37.750885,"t",36.9,-3.6,0.07,0.1,1.376,"[77]"
"192","Palirhoeus","eatoni","insect",7,0.25,0.25,-53.08181,73.504158,"t",35.6,-5.4,-0.28,-0.19,2.314,"[77]"
"193","Bothrometopus","randi","insect",7,0.25,0.25,-46.896448,37.750885,"t",36.3,-4.5,0.05,0.09,1.376,"[77]"
"194","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38,-4.7,-0.01,0.09,1.376,"[77]"
"195","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.7,-5.3,0.01,0.17,1.376,"[77]"
"196","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.2,-4.6,0.01,0.1,1.376,"[77]"
"197","Bothrometopus","parvulus","insect",7,0.25,0.25,-46.896448,37.750885,"t",38.4,-5.5,0.03,0.14,1.376,"[77]"
